Product Name,URL,Price,Rating,Review Count
,,Our most functional backpack ever,,
,,,,
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",,₹998,3.9 out of 5 stars,
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Waterproof USB Anti Theft Travel Backpack,,"₹2,849",4.3 out of 5 stars,
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),,"₹1,299",4.1 out of 5 stars,
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),,₹565,4.3 out of 5 stars,
Skybags Brat Black 46 Cms Casual Backpack,,₹669,4.1 out of 5 stars,
"Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste",https://aax-eu.amazon.in/x/c/RG_JiMqaYOP0JEKpJBvasfIAAAGGDHP0GwMAAAH2AQBOL0EgICAgICAgICAgICBOL0EgICAgICAgICAgICAX1Dsv/https://www.amazon.in/dp/B01NAZVN8M?pd_rd_i=B01NAZVN8M&pf_rd_p=dd2aa9b8-d653-4b22-af5d-81cb48e44028&pf_rd_r=G54YXDG8T3DC6HXR7KZN&pd_rd_wg=p9opi&pd_rd_w=ncP8j&pd_rd_r=899ee6f0-0aa1-46a6-97a4-6ae765c59c88,₹223,4.5 out of 5 stars,
,,,,
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),,₹499,3.9 out of 5 stars,
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",,₹356,4.1 out of 5 stars,
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,,₹798,4.1 out of 5 stars,
