Product Name,Price,URL,Rating,Review Count
Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,,₹510,5.0 out of 5 stars,
AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,,₹999,3.9 out of 5 stars,
Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack,,"₹1,899",4.4 out of 5 stars,
Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,,"₹4,599",4.2 out of 5 stars,
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,,₹889,4.3 out of 5 stars,
,,Want to upgrade your basic handbag with something new and exciting? Check out these embroidered variants that are classy and spacious.,3.8 out of 5 stars,
,,₹448,4.2 out of 5 stars,
,,₹448,4.2 out of 5 stars,
,,₹449,4.0 out of 5 stars,
,,₹339,4.0 out of 5 stars,
,,₹295,4.3 out of 5 stars,
,,₹527.45,4.3 out of 5 stars,
,,₹449,4.0 out of 5 stars,
,,₹278,4.0 out of 5 stars,
,,₹299,4.0 out of 5 stars,
,,,,
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",,₹699,3.9 out of 5 stars,
DEIN KLEIDER Men's Nylon Messenger Bag,,₹349,4.0 out of 5 stars,
ADISA Light Weight Laptop Backpack 32 Ltrs,,₹499,4.0 out of 5 stars,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,,₹849,3.9 out of 5 stars,
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",,₹599,3.8 out of 5 stars,
ADISA Laptop Backpack 31 Ltrs,,₹499,4.0 out of 5 stars,
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",,₹498,4.3 out of 5 stars,
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),,₹599,3.7 out of 5 stars,
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Waterproof USB Anti Theft Travel Backpack,,"₹2,849",4.3 out of 5 stars,
